person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
435,"Rogers, Carlos",Carlos Rogers,f,1994,2001,carlos_rogers,Y,Forward,1994,1,,,6,11,6.9,232,7,6,Tennessee State,USA,Arkansas-Little Rock; Tennessee State/USA
438,"Werdann, Robert",Robert Werdann,f,1992,1996,robert_werdann,Y,Center,1992,2,,,6,11,6.9,250,2,41,St. John's (NY),,"St. Thomas, Minn."
452,"Baker, Vin",Vin Baker,f,1993,2005,vin_baker,Y,Forward,1993,1,,,6,11,6.9,240,12,34,Hartford,USA,Hartford/USA
457,"Lang, Andrew",Andrew Lang,f,1988,1999,andrew_lang,Y,Center,1988,2,,,6,11,6.9,275,11,28,Arkansas,USA,Arkansas/USA
708,"Garnett, Kevin",Kevin Garnett,f,1995,2015,kevin_garnett,Y,Forward,1995,1,,,6,11,6.9,240,21,21,Farragut Academy HS (CHI),USA,Farragut Academy HS (IL)/USA
768,"Earl, Acie",Acie Earl,f,1993,1996,acie_earl,Y,Forward,1993,1,,,6,11,6.9,240,3,55,Iowa,USA,Iowa/USA
905,"Davis, Dale",Dale Davis,f,1991,2006,dale_davis,Y,Center,1991,1,,,6,11,6.9,252,16,34,Clemson,USA,Clemson/USA
911,"Johnson, Ervin",Ervin Johnson,f,1993,2005,ervin_johnson,Y,Center,1993,1,,,6,11,6.9,245,12,40,New Orleans,USA,New Orleans/USA
927,"Salley, John",John Salley,f,1986,1999,john_salley,Y,Center,1986,1,,,6,11,6.9,255,10,16,Georgia Tech,USA,Georgia Tech/USA
938,"Seikaly, Rony",Rony Seikaly,f,1988,1998,rony_seikaly,Y,Center,1988,1,,,6,11,6.9,253,10,2,Syracuse,USA,Syracuse/USA
948,"Camby, Marcus",Marcus Camby,f,1996,2012,marcus_camby,Y,Center,1996,1,,,6,11,6.9,240,17,23,Massachusetts,USA,Massachusetts/USA
